-32.0,-180.0,17.8
-32.0,-179.0,17.87
-32.0,-178.0,17.93
-32.0,-177.0,17.99
-32.0,-176.0,18.05
-32.0,-175.0,18.1
-32.0,-174.0,18.14
-32.0,-173.0,18.18
-32.0,-172.0,18.22
-32.0,-171.0,18.25
-32.0,-170.0,18.28
-32.0,-169.0,18.31
-32.0,-168.0,18.34
-32.0,-167.0,18.36
-32.0,-166.0,18.38
-32.0,-165.0,18.4
-32.0,-164.0,18.42
-32.0,-163.0,18.43
-32.0,-162.0,18.45
-32.0,-161.0,18.46
-32.0,-160.0,18.47
-32.0,-159.0,18.48
-32.0,-158.0,18.48
-32.0,-157.0,18.49
-32.0,-156.0,18.49
-32.0,-155.0,18.49
-32.0,-154.0,18.48
-32.0,-153.0,18.48
-32.0,-152.0,18.47
-32.0,-151.0,18.46
-32.0,-150.0,18.45
-32.0,-149.0,18.43
-32.0,-148.0,18.41
-32.0,-147.0,18.39
-32.0,-146.0,18.37
-32.0,-145.0,18.34
-32.0,-144.0,18.32
-32.0,-143.0,18.29
-32.0,-142.0,18.26
-32.0,-141.0,18.23
-32.0,-140.0,18.19
-32.0,-139.0,18.16
-32.0,-138.0,18.12
-32.0,-137.0,18.09
-32.0,-136.0,18.05
-32.0,-135.0,18.01
-32.0,-134.0,17.98
-32.0,-133.0,17.94
-32.0,-132.0,17.91
-32.0,-131.0,17.87
-32.0,-130.0,17.84
-32.0,-129.0,17.81
-32.0,-128.0,17.78
-32.0,-127.0,17.75
-32.0,-126.0,17.73
-32.0,-125.0,17.7
-32.0,-124.0,17.68
-32.0,-123.0,17.67
-32.0,-122.0,17.65
-32.0,-121.0,17.64
-32.0,-120.0,17.63
-32.0,-119.0,17.62
-32.0,-118.0,17.61
-32.0,-117.0,17.6
-32.0,-116.0,17.6
-32.0,-115.0,17.6
-32.0,-114.0,17.59
-32.0,-113.0,17.58
-32.0,-112.0,17.58
-32.0,-111.0,17.57
-32.0,-110.0,17.55
-32.0,-109.0,17.53
-32.0,-108.0,17.51
-32.0,-107.0,17.47
-32.0,-106.0,17.43
-32.0,-105.0,17.37
-32.0,-104.0,17.31
-32.0,-103.0,17.23
-32.0,-102.0,17.13
-32.0,-101.0,17.02
-32.0,-100.0,16.89
-32.0,-99.0,16.74
-32.0,-98.0,16.57
-32.0,-97.0,16.38
-32.0,-96.0,16.16
-32.0,-95.0,15.92
-32.0,-94.0,15.64
-32.0,-93.0,15.34
-32.0,-92.0,15.02
-32.0,-91.0,14.65
-32.0,-90.0,14.26
-32.0,-89.0,13.84
-32.0,-88.0,13.38
-32.0,-87.0,12.89
-32.0,-86.0,12.37
-32.0,-85.0,11.81
-32.0,-84.0,11.22
-32.0,-83.0,10.59
-32.0,-82.0,9.94
-32.0,-81.0,9.25
-32.0,-80.0,8.53
-32.0,-79.0,7.78
-32.0,-78.0,7.0
-32.0,-77.0,6.19
-32.0,-76.0,5.36
-32.0,-75.0,4.5
-32.0,-74.0,3.63
-32.0,-73.0,2.73
-32.0,-72.0,1.82
-32.0,-71.0,0.89
-32.0,-70.0,-0.05
-32.0,-69.0,-0.99
-32.0,-68.0,-1.94
-32.0,-67.0,-2.9
-32.0,-66.0,-3.85
-32.0,-65.0,-4.8
-32.0,-64.0,-5.74
-32.0,-63.0,-6.68
-32.0,-62.0,-7.6
-32.0,-61.0,-8.51
-32.0,-60.0,-9.41
-32.0,-59.0,-10.28
-32.0,-58.0,-11.13
-32.0,-57.0,-11.96
-32.0,-56.0,-12.77
-32.0,-55.0,-13.55
-32.0,-54.0,-14.3
-32.0,-53.0,-15.03
-32.0,-52.0,-15.72
-32.0,-51.0,-16.39
-32.0,-50.0,-17.02
-32.0,-49.0,-17.63
-32.0,-48.0,-18.21
-32.0,-47.0,-18.76
-32.0,-46.0,-19.27
-32.0,-45.0,-19.76
-32.0,-44.0,-20.22
-32.0,-43.0,-20.66
-32.0,-42.0,-21.07
-32.0,-41.0,-21.45
-32.0,-40.0,-21.81
-32.0,-39.0,-22.14
-32.0,-38.0,-22.46
-32.0,-37.0,-22.75
-32.0,-36.0,-23.02
-32.0,-35.0,-23.28
-32.0,-34.0,-23.51
-32.0,-33.0,-23.73
-32.0,-32.0,-23.93
-32.0,-31.0,-24.12
-32.0,-30.0,-24.29
-32.0,-29.0,-24.45
-32.0,-28.0,-24.6
-32.0,-27.0,-24.73
-32.0,-26.0,-24.84
-32.0,-25.0,-24.95
-32.0,-24.0,-25.04
-32.0,-23.0,-25.11
-32.0,-22.0,-25.17
-32.0,-21.0,-25.22
-32.0,-20.0,-25.25
-32.0,-19.0,-25.27
-32.0,-18.0,-25.27
-32.0,-17.0,-25.25
-32.0,-16.0,-25.22
-32.0,-15.0,-25.17
-32.0,-14.0,-25.1
-32.0,-13.0,-25.02
-32.0,-12.0,-24.91
-32.0,-11.0,-24.8
-32.0,-10.0,-24.66
-32.0,-9.0,-24.51
-32.0,-8.0,-24.34
-32.0,-7.0,-24.17
-32.0,-6.0,-23.98
-32.0,-5.0,-23.78
-32.0,-4.0,-23.58
-32.0,-3.0,-23.37
-32.0,-2.0,-23.16
-32.0,-1.0,-22.96
-32.0,0.0,-22.76
-32.0,1.0,-22.56
-32.0,2.0,-22.39
-32.0,3.0,-22.22
-32.0,4.0,-22.08
-32.0,5.0,-21.96
-32.0,6.0,-21.87
-32.0,7.0,-21.8
-32.0,8.0,-21.77
-32.0,9.0,-21.77
-32.0,10.0,-21.8
-32.0,11.0,-21.87
-32.0,12.0,-21.98
-32.0,13.0,-22.12
-32.0,14.0,-22.3
-32.0,15.0,-22.51
-32.0,16.0,-22.76
-32.0,17.0,-23.04
-32.0,18.0,-23.35
-32.0,19.0,-23.69
