14.0,-180.0,8.66
14.0,-179.0,8.73
14.0,-178.0,8.79
14.0,-177.0,8.84
14.0,-176.0,8.88
14.0,-175.0,8.9
14.0,-174.0,8.92
14.0,-173.0,8.94
14.0,-172.0,8.94
14.0,-171.0,8.94
14.0,-170.0,8.94
14.0,-169.0,8.94
14.0,-168.0,8.93
14.0,-167.0,8.92
14.0,-166.0,8.91
14.0,-165.0,8.91
14.0,-164.0,8.9
14.0,-163.0,8.9
14.0,-162.0,8.9
14.0,-161.0,8.91
14.0,-160.0,8.91
14.0,-159.0,8.93
14.0,-158.0,8.94
14.0,-157.0,8.96
14.0,-156.0,8.99
14.0,-155.0,9.02
14.0,-154.0,9.05
14.0,-153.0,9.09
14.0,-152.0,9.12
14.0,-151.0,9.16
14.0,-150.0,9.2
14.0,-149.0,9.25
14.0,-148.0,9.29
14.0,-147.0,9.33
14.0,-146.0,9.37
14.0,-145.0,9.41
14.0,-144.0,9.44
14.0,-143.0,9.48
14.0,-142.0,9.51
14.0,-141.0,9.53
14.0,-140.0,9.55
14.0,-139.0,9.57
14.0,-138.0,9.58
14.0,-137.0,9.58
14.0,-136.0,9.58
14.0,-135.0,9.58
14.0,-134.0,9.56
14.0,-133.0,9.55
14.0,-132.0,9.53
14.0,-131.0,9.5
14.0,-130.0,9.47
14.0,-129.0,9.43
14.0,-128.0,9.39
14.0,-127.0,9.34
14.0,-126.0,9.29
14.0,-125.0,9.24
14.0,-124.0,9.18
14.0,-123.0,9.12
14.0,-122.0,9.05
14.0,-121.0,8.98
14.0,-120.0,8.9
14.0,-119.0,8.82
14.0,-118.0,8.73
14.0,-117.0,8.63
14.0,-116.0,8.53
14.0,-115.0,8.42
14.0,-114.0,8.31
14.0,-113.0,8.18
14.0,-112.0,8.04
14.0,-111.0,7.89
14.0,-110.0,7.73
14.0,-109.0,7.56
14.0,-108.0,7.37
14.0,-107.0,7.17
14.0,-106.0,6.95
14.0,-105.0,6.71
14.0,-104.0,6.46
14.0,-103.0,6.19
14.0,-102.0,5.89
14.0,-101.0,5.58
14.0,-100.0,5.25
14.0,-99.0,4.9
14.0,-98.0,4.53
14.0,-97.0,4.14
14.0,-96.0,3.73
14.0,-95.0,3.3
14.0,-94.0,2.85
14.0,-93.0,2.38
14.0,-92.0,1.89
14.0,-91.0,1.39
14.0,-90.0,0.87
14.0,-89.0,0.33
14.0,-88.0,-0.22
14.0,-87.0,-0.78
14.0,-86.0,-1.36
14.0,-85.0,-1.94
14.0,-84.0,-2.54
14.0,-83.0,-3.14
14.0,-82.0,-3.75
14.0,-81.0,-4.36
14.0,-80.0,-4.97
14.0,-79.0,-5.59
14.0,-78.0,-6.21
14.0,-77.0,-6.82
14.0,-76.0,-7.43
14.0,-75.0,-8.04
14.0,-74.0,-8.64
14.0,-73.0,-9.23
14.0,-72.0,-9.81
14.0,-71.0,-10.37
14.0,-70.0,-10.93
14.0,-69.0,-11.47
14.0,-68.0,-11.99
14.0,-67.0,-12.5
14.0,-66.0,-12.98
14.0,-65.0,-13.45
14.0,-64.0,-13.89
14.0,-63.0,-14.31
14.0,-62.0,-14.7
14.0,-61.0,-15.07
14.0,-60.0,-15.41
14.0,-59.0,-15.73
14.0,-58.0,-16.01
14.0,-57.0,-16.27
14.0,-56.0,-16.49
14.0,-55.0,-16.69
14.0,-54.0,-16.85
14.0,-53.0,-16.99
14.0,-52.0,-17.09
14.0,-51.0,-17.16
14.0,-50.0,-17.21
14.0,-49.0,-17.22
14.0,-48.0,-17.2
14.0,-47.0,-17.16
14.0,-46.0,-17.09
14.0,-45.0,-16.99
14.0,-44.0,-16.86
14.0,-43.0,-16.71
14.0,-42.0,-16.53
14.0,-41.0,-16.33
14.0,-40.0,-16.1
14.0,-39.0,-15.86
14.0,-38.0,-15.59
14.0,-37.0,-15.3
14.0,-36.0,-15.0
14.0,-35.0,-14.68
14.0,-34.0,-14.34
14.0,-33.0,-13.98
14.0,-32.0,-13.62
14.0,-31.0,-13.24
14.0,-30.0,-12.85
14.0,-29.0,-12.45
14.0,-28.0,-12.04
14.0,-27.0,-11.62
14.0,-26.0,-11.19
14.0,-25.0,-10.76
14.0,-24.0,-10.33
14.0,-23.0,-9.9
14.0,-22.0,-9.46
14.0,-21.0,-9.02
14.0,-20.0,-8.59
14.0,-19.0,-8.15
14.0,-18.0,-7.72
14.0,-17.0,-7.3
14.0,-16.0,-6.88
14.0,-15.0,-6.47
14.0,-14.0,-6.07
14.0,-13.0,-5.68
14.0,-12.0,-5.29
14.0,-11.0,-4.92
14.0,-10.0,-4.56
14.0,-9.0,-4.21
14.0,-8.0,-3.88
14.0,-7.0,-3.55
14.0,-6.0,-3.24
14.0,-5.0,-2.94
14.0,-4.0,-2.65
14.0,-3.0,-2.38
14.0,-2.0,-2.11
14.0,-1.0,-1.86
14.0,0.0,-1.62
14.0,1.0,-1.38
